af Afrikaans
ar العربية
be Беларуская
bg Български
bn বাংলা
bs Bosanski
ca Català
ca@valencia Valencià
co Corsu
cs Čeština
cy Cymraeg
da Dansk
de Deutsch
el Ελληνικά
en English
es Español
eu Euskara
fa فارسی
fi Suomi
fr Français
ga Gaeilge
gl Galego
he עברית
hi हिन्दी
hr Hrvatski
hu Magyar
hy Հայերեն
id Bahasa Indonesia
it Italiano
ja 日本語
ka ქართული
km ខេមរភាសា
ko 한국어
lt Lietuvių
mk Македонски
mr मराठी
my မြန်မာစာ
nb Norsk
nl Nederlands
oc Occitan
pl Polski
pt_PT Português
pt_BR Português (Brasil)
ro Română
ru Русский
sk Slovenčina
sl Slovenščina
sr Српски
sr_Latn Srpski
sv Svenska
ta தமிழ்
tg Тоҷикӣ
tr Türkçe
uk Українська
vi Tiếng Việt
zh 中文（简体）
zh_Hant 中文（繁體）
